time speciesname1 speciesname2 speciesname3
0 300 300 0
1 299 299 2
2 299 298 3
3 299 298 3
4 299 297 4
5 298 297 5
6 298 297 5
7 297 297 6
8 297 296 7
9 296 296 8
10 296 295 9
11 295 295 10
12 295 295 10
13 295 295 10
14 294 295 11
15 294 295 11
16 294 295 11
17 294 295 11
18 291 295 14
19 291 293 16
20 291 293 16
21 291 293 16
22 291 292 17
23 291 291 18
24 291 291 18
25 289 290 21
26 288 290 22
27 287 290 23
28 286 290 24
29 285 290 25
30 285 290 25
31 285 290 25
32 285 290 25
33 285 290 25
34 285 290 25
35 285 290 25
36 284 289 27
37 284 289 27
38 283 289 28
39 283 289 28
40 283 289 28
41 283 289 28
42 283 289 28
43 282 289 29
44 282 288 30
45 282 288 30
46 282 288 30
47 282 288 30
48 282 287 31
49 281 287 32
50 281 286 33
51 281 286 33
52 280 286 34
53 280 286 34
54 280 286 34
55 280 286 34
56 280 286 34
57 280 286 34
58 280 285 35
59 280 285 35
60 280 285 35
61 280 284 36
62 280 284 36
63 279 284 37
64 278 284 38
65 277 284 39
66 277 284 39
67 277 284 39
68 277 284 39
69 277 284 39
70 277 284 39
71 276 284 40
72 274 284 42
73 273 283 44
74 273 282 45
75 273 282 45
76 273 281 46
77 273 281 46
78 273 281 46
79 273 280 47
80 271 280 49
81 271 279 50
82 271 279 50
83 271 279 50
84 271 279 50
85 271 278 51
86 271 278 51
87 270 277 53
88 269 277 54
89 269 277 54
90 269 277 54
91 268 277 55
92 268 277 55
93 268 276 56
94 268 276 56
95 267 275 58
96 267 274 59
97 267 274 59
98 266 274 60
99 266 274 60
100 266 274 60
101 266 274 60
102 266 274 60
103 266 274 60
104 264 274 62
105 264 274 62
106 264 274 62
107 263 274 63
108 263 274 63
109 263 273 64
110 263 273 64
111 263 272 65
112 263 272 65
113 262 272 66
114 262 271 67
115 262 270 68
116 262 270 68
117 261 270 69
118 261 270 69
119 261 269 70
120 261 269 70
121 261 268 71
122 261 268 71
123 261 268 71
124 260 268 72
125 260 268 72
126 259 268 73
127 258 268 74
128 258 268 74
129 258 268 74
130 258 267 75
131 258 267 75
132 257 267 76
133 257 266 77
134 257 266 77
135 257 266 77
136 257 264 79
137 257 264 79
138 257 264 79
139 256 264 80
140 256 264 80
141 255 263 82
142 255 263 82
143 255 263 82
144 255 263 82
145 255 263 82
146 254 263 83
147 254 263 83
148 254 263 83
149 253 263 84
150 253 263 84
151 252 263 85
152 251 263 86
153 250 262 88
154 249 262 89
155 249 262 89
156 249 262 89
157 249 262 89
158 249 262 89
159 249 262 89
160 249 262 89
161 249 262 89
162 249 262 89
163 249 262 89
164 248 262 90
165 248 262 90
166 248 261 91
167 248 261 91
168 248 261 91
169 248 261 91
170 248 261 91
171 248 258 94
172 248 258 94
173 247 258 95
174 246 258 96
175 246 258 96
176 244 258 98
177 244 258 98
178 243 257 100
179 243 257 100
180 243 257 100
181 243 257 100
182 243 256 101
183 243 256 101
184 243 256 101
185 243 255 102
186 243 253 104
187 242 253 105
188 242 250 108
189 242 250 108
190 242 250 108
191 242 250 108
192 242 250 108
193 242 250 108
194 242 250 108
195 242 249 109
196 242 249 109
197 242 249 109
198 241 248 111
199 240 248 112
200 240 248 112
201 240 248 112
202 240 248 112
203 240 247 113
204 239 247 114
205 239 245 116
206 239 245 116
207 239 245 116
208 239 243 118
209 239 243 118
210 239 242 119
211 239 242 119
212 239 242 119
213 239 242 119
214 239 241 120
215 239 241 120
216 239 241 120
217 239 241 120
218 239 240 121
219 239 240 121
220 239 240 121
221 239 239 122
222 239 238 123
223 239 238 123
224 239 238 123
225 237 238 125
226 237 238 125
227 237 237 126
228 236 237 127
229 233 237 130
230 232 237 131
231 232 237 131
232 232 237 131
233 232 237 131
234 232 237 131
235 232 237 131
236 231 237 132
237 231 237 132
238 230 234 136
239 229 234 137
240 229 234 137
241 229 234 137
242 229 234 137
243 229 234 137
244 228 234 138
245 228 234 138
246 227 233 140
247 227 232 141
248 227 232 141
249 225 232 143
250 224 232 144
251 224 231 145
252 224 231 145
253 224 231 145
254 224 231 145
255 223 231 146
256 223 230 147
257 223 230 147
258 223 230 147
259 223 230 147
260 223 230 147
261 223 230 147
262 223 230 147
263 223 230 147
264 223 230 147
265 222 230 148
266 221 230 149
267 221 230 149
268 221 229 150
269 221 229 150
270 221 229 150
271 220 229 151
272 220 229 151
273 220 229 151
274 220 229 151
275 220 228 152
276 220 227 153
277 220 227 153
278 220 227 153
279 220 227 153
280 219 227 154
281 219 227 154
282 219 227 154
283 219 226 155
284 219 224 157
285 219 224 157
286 219 223 158
287 219 223 158
288 218 223 159
289 218 223 159
290 218 223 159
291 217 223 160
292 217 222 161
293 217 222 161
294 217 222 161
295 216 222 162
296 216 222 162
297 216 222 162
298 216 221 163
299 216 221 163
