test_collection,file_path,should_fail,known_status,known_failure,known_failure_description
VCELL_BIOMD,BIOMD0000000005.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000175.omex,,FAIL,MATH_GENERATION_FAILURE,"unknown identifier I_Net_E44PPI3K_binding"
VCELL_BIOMD,BIOMD0000000302.omex,,FAIL,MATH_GENERATION_FAILURE,"Initial condition for variable 'h_post' references variable 'V_post'"
VCELL_BIOMD,BIOMD0000000520.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000561.omex,,FAIL,UNCATETORIZED_FAULT,"not a dynamic system - can't solve"
VCELL_BIOMD,BIOMD0000000569.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000618.omex,,FAIL,SBML_IMPORT_FAILURE,"couldn't find SBase with sid=null in SBMLSymbolMapping"
VCELL_BIOMD,BIOMD0000000651.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000668.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000669.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000676.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000679.omex,,,,
VCELL_BIOMD,BIOMD0000000680.omex,,,,
VCELL_BIOMD,BIOMD0000000681.omex,,,,
VCELL_BIOMD,BIOMD0000000684.omex,,,,
VCELL_BIOMD,BIOMD0000000718.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000724.omex,,,,
VCELL_BIOMD,BIOMD0000000731.omex,,FAIL,SBML_IMPORT_FAILURE,"Error binding global parameter 'Treg_origin_fraction_CD4' to model"
VCELL_BIOMD,BIOMD0000000842.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000843.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000915.omex,,,,
VCELL_BIOMD,BIOMD0000000932.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000944.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000951.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000957.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000968.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000972.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000973.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000983.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000985.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000989.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000991.omex,,PASS,,
VCELL_BIOMD,BIOMD0000000997.omex,,PASS,,
VCELL_BIOMD,BIOMD0000001010.omex,,PASS,,
VCELL_BIOMD,BIOMD0000001014.omex,,PASS,,
VCELL_BIOMD,BIOMD0000001018.omex,,PASS,,
VCELL_BIOMD,BIOMD0000001061.omex,,FAIL,SEDML_NO_SEDMLS_TO_EXECUTE,"There are no SED-MLs in the archive to execute"
VCELL_BIOMD,BIOMD0000001064.omex,,FAIL,SEDML_NO_SEDMLS_TO_EXECUTE,"There are no SED-MLs in the archive to execute"
VCELL_BIOMD,BIOMD0000001072.omex,,PASS,,
VCELL_BIOMD,BIOMD0000001077.omex,,PASS,,
VCELL_BSTS_VCML,Powers-Pflugers-Arch-2016-Drosophila-synaptic-strength.omex,,,,
VCELL_BSTS_SBML_CORE,Caravagna-J-Theor-Biol-2010-tumor-suppressive-oscillations.omex,,,,
VCELL_BSTS_SBML_CORE,Parmar-BMC-Syst-Biol-2017-iron-distribution.omex,,,,
VCELL_BSTS_SBML_CORE,Vilar-PNAS-2002-minimal-circardian-clock-discrete-NRM.omex,,,,
VCELL_BSTS_SBML_CORE,Ciliberto-J-Cell-Biol-2003-morphogenesis-checkpoint-Fehlberg.omex,,,,
VCELL_BSTS_SBML_CORE,Szymanska-J-Theor-Biol-2009-HSP-synthesis.omex,,,,
VCELL_BSTS_SBML_CORE,Vilar-PNAS-2002-minimal-circardian-clock-discrete-SSA.omex,,,,
VCELL_BSTS_SBML_CORE,Ciliberto-J-Cell-Biol-2003-morphogenesis-checkpoint-continuous.omex,,,,
VCELL_BSTS_SBML_CORE,Tomida-EMBO-J-2003-NFAT-translocation.omex,,,,
VCELL_BSTS_SBML_CORE,Vilar-PNAS-2002-minimal-circardian-clock.omex,,,,
VCELL_BSTS_SBML_CORE,Edelstein-Biol-Cybern-1996-Nicotinic-excitation.omex,,,,
VCELL_BSTS_SBML_CORE,Varusai-Sci-Rep-2018-mTOR-signaling-LSODA-LSODAR-SBML.omex,,,,
VCELL_BSTS_SBML_CORE,Elowitz-Nature-2000-Repressilator.omex,,,,
VCELL_BSTS_SBML_CORE,Vilar-PNAS-2002-minimal-circardian-clock-continuous.omex,,,,
VCELL_BSTS_SYNTHS,docker_image/SingularityImageExecutesSimulationsSuccessfully/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,results_report/SimulatorGeneratesReportsOfSimulationResults/1.execution-should-succeed.omex,,,,
